epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,351.283,0.77356,0.45439,0.81687,0.84384,0.5824,0.72153,0.5084,1.14824,1.0816,0.94375,0.00023764,0.00023764,0.00023764
43,359.606,0.77338,0.45768,0.81323,0.80947,0.71208,0.79071,0.56332,1.12861,1.00046,0.93675,0.00023368,0.00023368,0.00023368
44,368.206,0.76666,0.44868,0.81537,0.83833,0.61915,0.8178,0.57819,1.13137,1.02528,0.93933,0.00022972,0.00022972,0.00022972
45,376.435,0.74787,0.4322,0.81758,0.68534,0.70667,0.75979,0.55197,1.09702,1.0463,0.94281,0.00022576,0.00022576,0.00022576
46,384.94,0.75212,0.44823,0.81483,0.75243,0.7136,0.78097,0.5558,1.09057,1.06949,0.93148,0.0002218,0.0002218,0.0002218
47,393.256,0.73384,0.43144,0.81172,0.84092,0.63417,0.77752,0.5658,1.10031,1.03496,0.92431,0.00021784,0.00021784,0.00021784
48,401.703,0.73068,0.41956,0.81691,0.8291,0.68196,0.79593,0.57672,1.11486,1.05323,0.92791,0.00021388,0.00021388,0.00021388
49,409.578,0.72102,0.42857,0.81217,0.68227,0.72073,0.75232,0.52961,1.12772,1.11182,0.94361,0.00020992,0.00020992,0.00020992
50,418.225,0.71382,0.41975,0.81584,0.87015,0.63558,0.76383,0.54305,1.11076,1.12522,0.91626,0.00020596,0.00020596,0.00020596
51,426.443,0.72067,0.41852,0.8098,0.7217,0.74852,0.76746,0.55058,1.11381,1.12173,0.91624,0.000202,0.000202,0.000202
52,434.758,0.70008,0.41541,0.80977,0.69957,0.74967,0.7851,0.55659,1.12561,1.03896,0.93255,0.00019804,0.00019804,0.00019804
53,443.182,0.69605,0.40996,0.80578,0.87967,0.58573,0.74763,0.54881,1.07315,1.00575,0.91701,0.00019408,0.00019408,0.00019408
54,451.756,0.7106,0.4084,0.80611,0.82443,0.64066,0.77857,0.56167,1.07839,1.11372,0.92379,0.00019012,0.00019012,0.00019012
55,459.776,0.67016,0.39244,0.80547,0.75058,0.64856,0.74456,0.51967,1.13218,1.08916,0.94534,0.00018616,0.00018616,0.00018616
56,468.182,0.68196,0.39742,0.80011,0.80431,0.64582,0.75525,0.53065,1.1447,1.04984,0.95071,0.0001822,0.0001822,0.0001822
57,476.362,0.68395,0.39964,0.81021,0.80722,0.7085,0.75341,0.5283,1.13771,1.0226,0.94091,0.00017824,0.00017824,0.00017824
58,484.589,0.67298,0.40157,0.79878,0.73203,0.72659,0.76506,0.55236,1.15502,1.1072,0.94801,0.00017428,0.00017428,0.00017428
59,493.117,0.65435,0.38882,0.80368,0.84573,0.66904,0.79908,0.56621,1.16929,1.01405,0.94149,0.00017032,0.00017032,0.00017032
60,501.468,0.65397,0.37917,0.80131,0.76703,0.7396,0.80258,0.56084,1.14852,0.97473,0.9418,0.00016636,0.00016636,0.00016636
61,509.78,0.65739,0.37719,0.80352,0.84519,0.64605,0.77124,0.54741,1.14639,1.10243,0.94084,0.0001624,0.0001624,0.0001624
62,518.147,0.65525,0.37286,0.8039,0.79727,0.65268,0.7551,0.53726,1.13086,1.0707,0.93883,0.00015844,0.00015844,0.00015844
63,526.437,0.65222,0.37746,0.80289,0.80745,0.68757,0.7786,0.54984,1.1551,1.15822,0.94218,0.00015448,0.00015448,0.00015448
64,534.702,0.64506,0.37151,0.80239,0.79704,0.69027,0.76257,0.55005,1.14569,1.18364,0.94296,0.00015052,0.00015052,0.00015052
65,543.082,0.64257,0.37425,0.80635,0.70315,0.74942,0.78203,0.56423,1.11766,1.10398,0.93267,0.00014656,0.00014656,0.00014656
66,551.497,0.65587,0.36877,0.79848,0.82543,0.66176,0.77627,0.54363,1.16521,1.09293,0.94453,0.0001426,0.0001426,0.0001426
67,559.614,0.6376,0.37107,0.7997,0.80866,0.70427,0.7376,0.52432,1.13732,1.08448,0.94651,0.00013864,0.00013864,0.00013864
68,567.92,0.61725,0.35979,0.8022,0.87165,0.60476,0.76767,0.54712,1.14541,1.09918,0.93979,0.00013468,0.00013468,0.00013468
69,576.254,0.64045,0.36411,0.80446,0.83838,0.63716,0.76798,0.54749,1.13991,1.17118,0.9424,0.00013072,0.00013072,0.00013072
70,584.661,0.61377,0.3556,0.7979,0.79929,0.70335,0.75402,0.53962,1.12741,1.07278,0.94154,0.00012676,0.00012676,0.00012676
71,593.037,0.59271,0.34336,0.7963,0.75917,0.69846,0.74538,0.51252,1.14627,1.10655,0.94872,0.0001228,0.0001228,0.0001228
72,600.933,0.60415,0.35145,0.79567,0.78736,0.72596,0.77687,0.55843,1.11497,1.09948,0.94087,0.00011884,0.00011884,0.00011884
73,609.57,0.59807,0.34031,0.80224,0.81654,0.71865,0.76378,0.5523,1.15981,1.09402,0.9546,0.00011488,0.00011488,0.00011488
74,617.303,0.60416,0.34772,0.80176,0.89026,0.62963,0.77032,0.56009,1.13334,1.08099,0.94626,0.00011092,0.00011092,0.00011092
75,625.838,0.59448,0.34478,0.79583,0.86893,0.62318,0.75366,0.54777,1.18059,1.15469,0.95913,0.00010696,0.00010696,0.00010696
76,634.307,0.59272,0.34024,0.7888,0.68262,0.73037,0.75729,0.53874,1.18099,1.13448,0.95043,0.000103,0.000103,0.000103
77,642.628,0.58608,0.34102,0.78883,0.7227,0.71994,0.7657,0.54671,1.16769,1.11879,0.94789,9.904e-05,9.904e-05,9.904e-05
78,650.946,0.58781,0.3324,0.79509,0.7539,0.70572,0.76208,0.54136,1.16596,1.10247,0.95028,9.508e-05,9.508e-05,9.508e-05
79,659.28,0.58599,0.33692,0.79413,0.83756,0.68602,0.82325,0.57741,1.14677,1.07332,0.95438,9.112e-05,9.112e-05,9.112e-05
80,667.843,0.57222,0.32818,0.79154,0.78915,0.72717,0.82253,0.59215,1.12232,1.02649,0.94603,8.716e-05,8.716e-05,8.716e-05
81,675.434,0.55847,0.32862,0.795,0.79549,0.67747,0.80224,0.57158,1.14214,1.09164,0.94846,8.32e-05,8.32e-05,8.32e-05
82,683.928,0.56364,0.32908,0.79018,0.67587,0.69963,0.81248,0.57685,1.1717,1.10896,0.96318,7.924e-05,7.924e-05,7.924e-05
83,692.268,0.55658,0.3191,0.7927,0.86545,0.67515,0.81856,0.58312,1.14669,1.07135,0.95494,7.528e-05,7.528e-05,7.528e-05
84,700.681,0.55917,0.32268,0.79313,0.72155,0.71876,0.82071,0.57461,1.15098,1.11273,0.95597,7.132e-05,7.132e-05,7.132e-05
85,709.089,0.54544,0.31632,0.79412,0.84462,0.69194,0.77109,0.55634,1.16033,1.11428,0.96027,6.736e-05,6.736e-05,6.736e-05
86,717.72,0.55296,0.32133,0.79196,0.82495,0.66507,0.75926,0.55443,1.13976,1.15079,0.95515,6.34e-05,6.34e-05,6.34e-05
87,725.696,0.55471,0.31644,0.79546,0.80221,0.68268,0.76628,0.55849,1.13138,1.1165,0.95155,5.944e-05,5.944e-05,5.944e-05
88,734.25,0.52574,0.30938,0.78863,0.86867,0.65884,0.82765,0.59427,1.14664,1.11815,0.96087,5.548e-05,5.548e-05,5.548e-05
89,742.451,0.5376,0.30965,0.7867,0.82892,0.63922,0.77047,0.5605,1.13145,1.11483,0.95525,5.152e-05,5.152e-05,5.152e-05
90,750.686,0.54885,0.31311,0.78903,0.78533,0.65245,0.7587,0.55548,1.12735,1.16926,0.95123,4.756e-05,4.756e-05,4.756e-05
91,761.073,0.51901,0.3002,0.78993,0.8443,0.62792,0.74591,0.54266,1.12482,1.17387,0.95219,4.36e-05,4.36e-05,4.36e-05
92,768.977,0.4974,0.28645,0.78406,0.79856,0.65858,0.75378,0.55036,1.12432,1.18227,0.94897,3.964e-05,3.964e-05,3.964e-05
93,776.851,0.49867,0.29036,0.78551,0.80248,0.67057,0.75929,0.55317,1.11846,1.1863,0.95333,3.568e-05,3.568e-05,3.568e-05
94,784.752,0.49287,0.28278,0.7889,0.74293,0.66962,0.74758,0.5539,1.1135,1.19409,0.95558,3.172e-05,3.172e-05,3.172e-05
95,792.797,0.48478,0.28073,0.78431,0.83187,0.65191,0.74844,0.54045,1.11951,1.19533,0.95128,2.776e-05,2.776e-05,2.776e-05
96,800.386,0.48322,0.28162,0.78437,0.8283,0.68978,0.7557,0.55535,1.10298,1.1644,0.94862,2.38e-05,2.38e-05,2.38e-05
97,808.413,0.48926,0.27885,0.78457,0.7825,0.70172,0.76007,0.55832,1.08958,1.15699,0.94635,1.984e-05,1.984e-05,1.984e-05
98,816.137,0.47344,0.27335,0.78046,0.7335,0.71196,0.76558,0.55904,1.1061,1.1475,0.94894,1.588e-05,1.588e-05,1.588e-05
99,823.899,0.46918,0.27288,0.78614,0.76986,0.70217,0.78866,0.57564,1.10543,1.15233,0.95238,1.192e-05,1.192e-05,1.192e-05
100,831.865,0.4556,0.2675,0.78484,0.77771,0.70908,0.78811,0.57982,1.10764,1.15825,0.95174,7.96e-06,7.96e-06,7.96e-06
