epoch,epoch_loss,cls_loss,boxreg_loss,train-mAP@50:,train-mAP@50-95,test-mAP@50:,test-mAP@50-95
85,1.3987,0.5111,0.5813,0.9524,0.8674,0.6077,0.3400
86,1.3906,0.5160,0.5758,0.9523,0.8802,0.6114,0.3462
87,1.3922,0.5111,0.5719,0.9523,0.8709,0.6159,0.3491
88,1.3815,0.5072,0.5677,0.9523,0.8758,0.6143,0.3485
89,1.4134,0.5406,0.5679,0.9523,0.8750,0.6136,0.3524
90,1.3699,0.5141,0.5648,0.9523,0.8734,0.6162,0.3492
91,1.3745,0.5092,0.5554,0.9523,0.8788,0.6162,0.3492
92,1.3811,0.5236,0.5521,0.9523,0.8785,0.6184,0.3499
93,1.3745,0.5434,0.5500,0.9523,0.8808,0.6184,0.3499
94,1.3890,0.5402,0.5486,0.9523,0.8790,0.6184,0.3499
95,1.3816,0.5292,0.5468,0.9523,0.8790,0.6184,0.3499
96,1.3652,0.5257,0.5458,0.9523,0.8810,0.6136,0.3477
97,1.3513,0.5125,0.5459,0.9523,0.8806,0.6184,0.3499
98,1.4022,0.5453,0.5455,0.9523,0.8819,0.6136,0.3477
99,1.3652,0.5337,0.5472,0.9523,0.8842,0.6184,0.3499
100,1.3607,0.5257,0.5423,0.9523,0.8837,0.6136,0.3522
